Country,Date,Confirmed,Deaths,Recovered,Active
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,0,0,0,0
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,1,0,0,1
Spain,00:00.0,2,0,0,2
Spain,00:00.0,2,0,0,2
Spain,00:00.0,2,0,0,2
Spain,00:00.0,2,0,0,2
Spain,00:00.0,2,0,0,2
Spain,00:00.0,2,0,0,2
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,2,0,2,0
Spain,00:00.0,6,0,2,4
Spain,00:00.0,13,0,2,11
Spain,00:00.0,15,0,2,13
Spain,00:00.0,32,0,2,30
Spain,00:00.0,45,0,2,43
Spain,00:00.0,84,0,2,82
Spain,00:00.0,120,0,2,118
Spain,00:00.0,165,1,2,162
Spain,00:00.0,222,2,2,218
Spain,00:00.0,259,3,2,254
Spain,00:00.0,400,5,2,393
Spain,00:00.0,500,10,30,460
Spain,00:00.0,673,17,30,626
Spain,00:00.0,1073,28,32,1013
Spain,00:00.0,1695,35,32,1628
Spain,00:00.0,2277,54,183,2040
Spain,00:00.0,2277,55,183,2039
Spain,00:00.0,5232,133,193,4906
Spain,00:00.0,6391,195,517,5679
Spain,00:00.0,7798,289,517,6992
Spain,00:00.0,9942,342,530,9070
Spain,00:00.0,11748,533,1028,10187
Spain,00:00.0,13910,623,1081,12206
Spain,00:00.0,17963,830,1107,16026
Spain,00:00.0,20410,1043,1588,17779
Spain,00:00.0,25374,1375,2125,21874
Spain,00:00.0,28768,1772,2575,24421
Spain,00:00.0,35136,2311,2575,30250
Spain,00:00.0,39885,2808,3794,33283
Spain,00:00.0,49515,3647,5367,40501
Spain,00:00.0,57786,4365,7015,46406
Spain,00:00.0,65719,5138,9357,51224
Spain,00:00.0,73235,5982,12285,54968
Spain,00:00.0,80110,6803,14709,58598
Spain,00:00.0,87956,7716,16780,63460
Spain,00:00.0,95923,8464,19259,68200
Spain,00:00.0,104118,9387,22647,72084
Spain,00:00.0,112065,10348,26743,74974
Spain,00:00.0,119199,11198,30513,77488
Spain,00:00.0,126168,11947,34219,80002
Spain,00:00.0,131646,12641,38080,80925
Spain,00:00.0,136675,13341,40437,82897
Spain,00:00.0,141942,14045,43208,84689
Spain,00:00.0,148220,14792,48021,85407
Spain,00:00.0,153222,15447,52165,85610
Spain,00:00.0,158273,16081,55668,86524
Spain,00:00.0,163027,16606,59109,87312
Spain,00:00.0,166831,17209,62391,87231
Spain,00:00.0,170099,17756,64727,87616
Spain,00:00.0,172541,18056,67504,86981
Spain,00:00.0,177644,18708,70853,88083
Spain,00:00.0,184948,19315,74797,90836
Spain,00:00.0,190839,20002,74797,96040
Spain,00:00.0,191726,20043,74797,96886
Spain,00:00.0,198674,20453,77357,100864
Spain,00:00.0,200210,20852,80587,98771
Spain,00:00.0,204178,21282,82514,100382
Spain,00:00.0,208389,21717,85915,100757
Spain,00:00.0,213024,22157,89250,101617
Spain,00:00.0,202990,22524,92355,88111
Spain,00:00.0,205905,22902,95708,87295
Spain,00:00.0,207634,23190,98372,86072
Spain,00:00.0,209465,23521,100875,85069
Spain,00:00.0,210773,23822,102548,84403
Spain,00:00.0,212917,24275,108947,79695
Spain,00:00.0,213435,24543,112050,76842
Spain,00:00.0,213435,24543,112050,76842
Spain,00:00.0,216582,25100,117248,74234
Spain,00:00.0,217466,25264,118902,73300
Spain,00:00.0,218011,25428,121343,71240
Spain,00:00.0,219329,25613,123486,70230
Spain,00:00.0,220325,25857,126002,68466
Spain,00:00.0,221447,26070,128511,66866
Spain,00:00.0,222857,26299,131148,65410
Spain,00:00.0,223578,26478,133952,63148
Spain,00:00.0,224350,26621,136166,61563
Spain,00:00.0,227436,26744,137139,63553
Spain,00:00.0,228030,26920,138980,62130
Spain,00:00.0,228691,27104,140823,60764
Spain,00:00.0,229540,27321,143374,58845
Spain,00:00.0,230183,27459,144783,57941
Spain,00:00.0,230698,27563,146446,56689
Spain,00:00.0,230698,27563,146446,56689
Spain,00:00.0,231606,27709,150376,53521
Spain,00:00.0,232037,27778,0,204259
Spain,00:00.0,232555,27888,150376,54291
Spain,00:00.0,233037,27940,150376,54721
Spain,00:00.0,234824,28628,150376,55820
Spain,00:00.0,235290,28678,150376,56236
Spain,00:00.0,235772,28752,150376,56644
Spain,00:00.0,235400,26834,150376,58190
Spain,00:00.0,236259,27117,150376,58766
Spain,00:00.0,236259,27117,150376,58766
Spain,00:00.0,237906,27119,150376,60411
Spain,00:00.0,238564,27121,150376,61067
Spain,00:00.0,239228,27125,150376,61727
Spain,00:00.0,239479,27127,150376,61976
Spain,00:00.0,239638,27127,150376,62135
