Date,Confirmed,Recovered,Active,Deaths
5/7/2020 0:00,5166077,1284096,3532281,349700
5/8/2020 0:00,5286711,1321405,3608601,356705
00:00.0,5399508,1374979,3661670,362859
5/10/2020 0:00,5498079,1408329,3722595,367155
00:00.0,5593671,1455558,3766060,372053
5/12/2020 0:00,5700759,1492763,3828453,379543
5/13/2020 0:00,5808010,1547896,3873449,386665
00:00.0,5931709,1587242,3950635,393832
00:00.0,6058065,1636416,4020850,400799
00:00.0,6176028,1692546,4077223,406259
00:00.0,6275331,1733312,4131446,410573
00:00.0,6385770,1786224,4184835,414711
00:00.0,6502590,1687968,4393468,421154
00:00.0,6625860,1896815,4301421,427624
00:00.0,6758208,1948088,4376308,433812
00:00.0,6891578,2055992,4395168,440418
5/23/2020 0:00,5394790,2111534,2934710,348546
00:00.0,7132807,2167912,4515667,449228
00:00.0,7240324,2231087,4558215,451022
00:00.0,7354463,2286305,4612124,456034
00:00.0,7475546,2349437,4663271,462838
00:00.0,7616206,2415309,4732077,468820
00:00.0,7756589,2492884,4789053,474652
00:00.0,7916080,2564042,4872067,479971
00:00.0,8044795,2640678,4920417,483700
00:00.0,8166038,2695358,4982642,488038
